Allele,UMAP_x,UMAP_y
A0101,6.8619113,8.952477
A0201,10.767844,11.407834
A0202,10.77175,11.337897
A0203,10.248023,11.34023
A0204,10.297932,11.353135
A0205,10.342023,11.293255
A0206,10.307325,11.488181
A0207,9.810377,11.543082
A0211,10.829336,11.427762
A0220,10.765929,11.313694
A0252,9.797625,11.450427
A0301,10.143206,5.801578
A0302,9.606136,6.2437425
A1101,9.821555,5.816193
A1102,9.738123,5.830081
A2301,5.5608335,12.917546
A2402,5.4621844,12.75416
A2407,5.602487,13.593363
A2501,4.7059264,8.731577
A2601,7.6385436,8.131253
A2608,7.0227327,8.9091425
A2902,4.4698696,10.97515
A2906,4.9396753,9.49079
A3001,5.915817,5.1633744
A3002,4.122941,10.770866
A3101,9.801202,5.9100285
A3201,3.0928144,8.496547
A3301,8.482351,5.4921784
A3303,8.514334,5.1850395
A3401,7.717636,5.6630044
A3402,8.756357,5.4036303
A3601,7.3157983,8.521974
A6601,8.262499,5.237174
A6801,8.574652,5.7365336
A6802,9.490756,4.976751
A6901,9.140542,5.1217337
A7401,9.738787,5.8529463
B0702,5.843471,7.171259
B0704,5.851897,7.4837894
B0801,6.0167303,9.484712
B0802,6.170054,8.256316
B1301,2.2310677,11.164223
B1302,10.005391,11.394687
B1401,4.7066946,8.285226
B1402,5.4194818,9.12099
B1501,4.6510153,10.769558
B1502,6.841885,7.633994
B1503,12.280038,8.098896
B1510,5.5906887,10.460182
B1511,6.811184,7.662376
B1513,3.4099345,9.583176
B1517,3.186229,9.121335
B1518,5.9114943,10.8136015
B1801,3.4741495,9.290228
B1803,4.0968423,9.844723
B1805,3.2013054,9.6071825
B2704,4.9036307,7.8580446
B2705,5.1246605,4.7436495
B2709,6.5669107,7.5674076
B3501,5.5091934,6.7074842
B3502,6.505152,8.216308
B3503,6.0259714,8.76208
B3507,6.150175,7.5491166
B3508,6.909569,8.024654
B3701,1.0630282,9.807087
B3801,5.2997723,10.729646
B3802,5.0655937,10.69273
B3901,5.8117666,10.592154
B3905,5.495954,10.611347
B3906,5.6112905,9.904113
B3924,5.489247,10.53691
B4001,1.6691523,10.464491
B4002,1.0600168,10.1115265
B4006,1.2483742,10.188876
B4032,1.1320814,10.271006
B4101,1.2675196,10.377944
B4201,5.626373,7.8742375
B4401,3.0815115,8.817879
B4402,3.6843524,10.412321
B4403,3.062712,9.820103
B4405,3.5048296,11.183234
B4501,1.2215492,10.1766615
B4601,7.1261625,10.532953
B4701,4.032564,4.4759674
B4801,12.254395,8.22901
B4901,1.0210879,10.259666
B5001,1.2126794,10.151724
B5101,6.4280987,8.571291
B5108,6.218774,8.431408
B5201,6.25959,10.8081
B5301,4.9352055,8.262297
B5401,5.947449,7.3085275
B5501,5.796519,7.5496264
B5502,5.7399626,7.3384743
B5601,5.718627,7.588168
B5701,3.3526628,8.969705
B5703,3.1659381,9.015698
B5801,3.0287774,9.152986
B5802,3.1099267,9.000746
B6701,5.7689304,7.7092867
B7301,2.37016,9.698546
B8101,5.395004,7.798299
C0102,8.118676,11.953381
C0202,11.273435,8.509823
C0210,8.677759,10.872328
C0302,7.599876,11.021883
C0303,8.4998665,11.9594
C0304,8.318632,11.9711275
C0332,6.707137,8.057201
C0401,7.5896993,12.073841
C0403,8.073414,11.676046
C0501,8.195326,11.613682
C0601,7.5856237,10.429162
C0602,6.9668427,10.821234
C0701,4.665677,9.186536
C0702,6.332781,11.759948
C0704,8.181061,11.360474
C0801,8.779451,11.855816
C0802,8.326325,11.627431
C1202,7.2647696,10.437466
C1203,7.9421263,11.914378
C1204,6.557481,10.562668
C1402,6.7791204,11.696649
C1403,6.5735636,12.108981
C1501,8.429527,9.501852
C1502,8.337239,11.825536
C1505,6.029412,9.193616
C1601,7.475012,11.872276
C1602,6.913706,10.619064
C1701,8.930867,11.740193
E0103,10.525909,11.277776
G0101,7.03055,11.758398
G0103,6.7746677,11.380604
G0104,6.8272643,11.833128
